,TimeStamp,Text,URL
0,Fri May 04 20:00:38,"Styled looks at the Super Moon Yellow and Utility Black Yeezy 500 colorways, rumored to release June 9 (Super Moon\u2026 https://t.co/aoug6UNh4A",['https://t.co/aoug6UNh4A']
1,Thu May 03 17:00:17,Restocked with free shipping.\nadidas Yeezy 500 Blush.\n\u2014&gt; https://t.co/EQXAhCSj3G https://t.co/1kxZdKJLmt,"['https://t.co/EQXAhCSj3G', 'https://t.co/1kxZdKJLmt']"
2,Tue Apr 17 23:20:04,Sizes 4-11 with global shipping.\nadidas Yeezy Powerphase.\n\u2014&gt; https://t.co/p3QrjJ7I7r https://t.co/2vBElW0Kfx,"['https://t.co/p3QrjJ7I7r', 'https://t.co/2vBElW0Kfx']"
3,Sat Apr 14 14:27:22,RESTOCKED on Yeezy Supply.\nadidas Yeezy 500 Blush.\n\u2014&gt; https://t.co/ggsEXenFZf https://t.co/vIWmz0jPBC,"['https://t.co/ggsEXenFZf', 'https://t.co/vIWmz0jPBC']"
4,Sat Apr 14 13:46:39,QUEUE LIVE on #adidas US.\nadidas Yeezy 500 Blush.\n\u2014&gt; https://t.co/M6JLqVv38q https://t.co/pUA0sdrhjP,"['https://t.co/M6JLqVv38q', 'https://t.co/pUA0sdrhjP']"
5,Sat Apr 14 13:32:40,NOW AVAILABLE on Yeezy Supply.\nadidas Yeezy 500 Blush.\n\u2014&gt; https://t.co/ggsEXenFZf https://t.co/I56bOiach8,"['https://t.co/ggsEXenFZf', 'https://t.co/I56bOiach8']"
6,Sat Apr 14 13:30:13,30 MINUTES on #adidas US.\nadidas Yeezy 500 Blush.\nStay tuned for release updates.\n\u2014&gt; https://t.co/J8bqlRAAIx https://t.co/woHt9wuKPN,"['https://t.co/J8bqlRAAIx', 'https://t.co/woHt9wuKPN']"
7,Sat Apr 14 12:15:55,QUEUE LIVE on #adidas CA.\nadidas Yeezy 500 Blush.\n\u2014&gt; https://t.co/QY9suNg28r https://t.co/SKFo9qNrTQ,"['https://t.co/QY9suNg28r', 'https://t.co/SKFo9qNrTQ']"
8,Sat Apr 14 12:00:38,TWO HOURS on #adidas US.\nadidas Yeezy 500 Blush.\nStay tuned for release updates.\n\u2014&gt; https://t.co/gYbQNNU8is https://t.co/cJroozJbyP,"['https://t.co/gYbQNNU8is', 'https://t.co/cJroozJbyP']"
9,Sat Apr 14 07:30:06,30 MINUTES on #adidas EU.\nadidas Yeezy 500 Blush.\nStay tuned for release updates.\n\nUK  https://t.co/lChUBzIQhQ\nDE\u2026 https://t.co/PAJ6uVbQXl,"['https://t.co/lChUBzIQhQ\\nDE\\u2026', 'https://t.co/PAJ6uVbQXl']"
